trial_id,number_of_countries,min_end_date,max_end_date,comp_date,has_results,includes_pip,rare_disease,phase,bioequivalence_study,health_volunteers,trial_status,terminated,sponsor_status
2004-000305-21,7,2006-08-28,2006-09-05,5,1,0,0,2,0,0,2,0,1
2004-000306-46,3,,,0,1,0,0,3,0,0,2,0,1
2004-000311-26,5,2005-11-10,2005-11-10,1,1,0,0,3,0,0,1,0,1
2004-000312-93,5,2007-01-31,2007-03-09,3,1,0,2,3,0,0,2,0,1
2004-000313-19,2,2007-03-09,2007-03-09,1,1,0,0,3,0,0,2,0,1
2004-000315-26,4,2007-07-31,2007-10-01,3,1,0,0,3,0,0,2,0,1
2004-000320-32,4,2010-04-16,2010-04-16,2,1,0,0,4,0,0,2,1,1
2004-000326-70,1,,,0,1,0,0,3,0,0,1,0,1
2004-000327-15,4,2006-12-06,2006-12-06,1,1,0,2,3,0,0,2,1,1
2004-000329-31,1,,,0,0,0,3,3,0,0,0,0,0
2004-000330-36,2,,,0,0,0,2,3,0,0,0,0,1
2004-000333-10,1,2006-03-01,2006-03-01,1,1,0,3,4,0,1,1,0,0
2004-000335-28,5,2006-03-20,2006-03-20,2,1,0,0,0,0,0,2,0,1
2004-000336-81,1,,,0,0,0,0,3,0,0,1,1,1
2004-000337-12,1,,,0,1,0,0,4,0,0,0,0,1
2004-000344-24,4,2009-02-06,2009-02-25,3,1,0,0,2,0,0,2,0,1
2004-000345-38,5,2007-09-13,2007-09-13,4,0,0,0,3,0,0,1,0,1
2004-000346-21,3,,,0,0,0,0,3,0,0,2,0,1
2004-000347-14,4,2006-12-14,2007-03-02,2,1,0,0,3,0,0,2,0,1
2004-000348-25,1,2006-03-03,2006-03-03,1,1,0,0,3,0,0,1,0,1
2004-000349-40,1,2005-10-18,2005-10-18,1,0,0,3,3,0,0,1,0,1
2004-000350-24,2,2006-07-31,2006-07-31,1,1,0,0,0,0,0,2,0,1
2004-000352-16,6,,,0,1,0,0,2,0,0,2,0,1
2004-000353-38,5,,,0,0,0,2,3,0,0,2,1,1
2004-000354-22,5,2006-09-19,2006-09-19,1,1,0,0,3,0,0,2,0,1
2004-000356-17,6,2008-07-22,2008-10-22,4,1,0,2,0,0,0,2,0,1
2004-000358-21,2,,,0,1,0,1,2,0,0,1,0,1
2004-000359-41,2,,,0,1,0,0,2,0,0,1,0,1
2004-000361-35,2,2008-04-10,2008-04-10,2,1,0,0,2,0,0,1,1,1
2004-000362-12,1,,,0,0,0,0,2,0,0,1,0,1
2004-000363-10,1,,,0,1,0,0,4,0,0,1,0,1
2004-000365-35,2,,,0,1,0,0,3,0,0,0,0,1
2004-000367-98,8,2007-01-17,2007-01-31,3,1,0,2,0,0,0,2,0,1
2004-000368-28,7,2007-02-28,2007-02-28,4,1,0,0,2,0,0,2,0,1
2004-000369-37,4,2005-12-16,2005-12-16,1,1,0,0,2,0,0,2,0,1
2004-000370-31,4,2005-08-04,2005-08-04,1,1,0,0,2,0,0,2,0,1
2004-000371-34,5,2005-12-09,2006-01-18,2,1,0,0,2,0,0,1,0,1
2004-000374-31,1,2006-07-21,2006-07-21,1,1,0,3,2,0,0,1,0,1
2004-000376-14,1,,,0,1,0,3,3,0,0,1,0,1
2004-000379-32,3,2007-03-23,2007-10-31,2,1,0,0,2,0,0,2,0,2
2004-000383-27,1,,,0,1,0,0,2,0,0,1,0,1
2004-000384-10,2,,,0,0,0,1,2,0,0,0,0,1
2004-000390-59,2,,,0,1,0,2,2,0,0,2,1,1
2004-000394-60,2,,,0,0,0,1,2,0,0,1,1,1
2004-000397-31,1,2006-12-11,2006-12-11,1,1,0,0,4,0,1,1,0,1
2004-000398-76,1,,,0,0,0,0,2,0,0,0,0,1
2004-000404-40,3,,,0,1,0,2,3,0,0,2,0,1
2004-000405-22,1,,,0,0,0,1,2,0,0,0,0,0
2004-000406-51,7,2007-05-31,2007-05-31,3,1,0,0,2,0,0,2,0,1
2004-000408-41,2,,,0,0,0,0,3,0,0,2,0,1
2004-000411-25,1,,,0,0,0,3,2,0,0,0,0,0
2004-000414-39,2,,,0,1,0,0,4,0,0,1,0,1
2004-000415-26,5,2006-10-10,2007-12-31,2,0,0,2,2,0,0,2,1,1
2004-000417-18,1,,,0,0,0,0,3,0,0,0,0,0
2004-000422-73,1,,,0,0,0,0,3,0,0,1,0,1
2004-000424-32,1,,,0,1,0,0,2,0,0,0,0,1
2004-000432-85,4,2007-02-01,2007-05-21,2,0,0,0,3,0,0,2,0,2
2004-000438-35,1,2007-07-06,2007-07-06,1,0,0,1,3,0,0,1,0,1
2004-000439-27,1,2008-01-24,2008-01-24,1,0,0,1,3,0,0,1,0,1
2004-000440-24,1,,,0,1,0,1,2,0,0,1,0,1
2004-000441-38,3,2007-07-11,2007-07-11,1,0,0,0,3,0,0,2,1,0
2004-000442-21,1,,,0,0,0,0,2,0,0,1,0,1
2004-000443-17,2,,,0,0,0,0,3,0,0,2,0,1
2004-000446-20,2,2011-01-30,2011-01-30,1,1,0,0,3,0,0,2,0,0
2004-000448-26,1,,,0,0,0,0,3,0,0,0,0,1
2004-000450-23,2,,,0,1,0,0,3,0,0,1,0,1
2004-000452-16,4,2009-10-27,2009-10-27,1,1,0,0,3,0,0,1,0,2
2004-000457-34,5,2006-08-11,2006-08-11,3,1,0,0,3,0,0,2,0,1
2004-000462-13,2,,,0,1,0,2,2,0,0,1,0,1
2004-000463-94,2,,,0,1,0,2,2,0,0,1,0,1
2004-000464-28,4,2008-06-10,2008-06-10,3,0,0,1,3,0,0,1,0,1
2004-000469-36,3,2006-01-17,2006-01-17,1,1,0,0,2,0,2,2,0,1
2004-000472-14,5,2005-11-07,2005-12-22,2,1,0,0,2,0,0,2,0,1
2004-000476-13,2,,,0,1,0,2,3,0,0,2,0,1
2004-000478-30,8,2011-02-11,2011-02-11,4,1,0,1,3,0,0,2,0,1
2004-000480-10,5,2010-01-14,2010-01-14,2,0,0,0,3,0,0,2,1,1
2004-000482-35,2,2006-12-08,2006-12-08,1,1,0,0,2,0,0,2,0,1
2004-000483-27,3,,,0,1,0,0,3,0,0,2,0,1
2004-000485-13,6,2010-03-19,2010-03-19,2,0,0,1,3,0,0,2,0,1
2004-000486-35,1,,,0,0,0,0,3,0,0,0,0,1
2004-000487-27,3,2005-03-15,2005-03-15,1,1,0,0,0,0,0,1,0,1
2004-000488-83,10,2008-05-15,2008-05-15,8,1,0,0,3,0,0,2,0,1
2004-000492-33,3,,,0,1,0,0,3,0,0,1,0,1
2004-000493-32,3,,,0,1,0,0,3,0,0,2,0,1
2004-000495-14,1,,,0,0,0,0,2,0,0,0,0,3
2004-000499-16,1,,,0,0,0,0,2,0,0,1,0,1
2004-000501-21,1,,,0,1,0,1,2,0,0,0,0,1
2004-000502-40,1,,,0,0,0,0,2,0,0,0,0,0
2004-000506-52,9,2009-06-02,2009-06-02,8,1,0,0,3,0,0,1,0,2
2004-000507-17,1,,,0,0,0,3,2,0,0,0,0,0
2004-000509-24,4,2006-06-15,2006-06-15,2,1,0,0,2,0,0,2,0,1
2004-000511-25,1,,,0,1,0,0,2,0,0,1,0,1
2004-000512-17,3,2008-05-14,2008-05-14,3,1,0,0,3,0,0,1,0,1
2004-000514-38,1,,,0,1,0,0,3,0,0,1,0,1
2004-000517-19,1,,,0,0,0,0,4,0,0,0,0,0
2004-000518-37,2,,,0,1,0,0,3,0,1,2,0,1
2004-000520-32,1,,,0,1,0,0,3,0,0,0,0,1
2004-000526-75,1,,,0,1,0,1,3,0,0,0,0,1
2004-000530-37,3,2005-04-05,2005-04-05,1,1,0,0,3,0,0,1,0,1
2004-000532-85,1,2007-12-13,2007-12-13,1,0,0,0,4,0,0,1,0,0
2004-000534-36,3,,,0,0,0,0,3,0,0,0,0,1
2004-000535-29,6,,,0,1,0,0,3,0,0,2,1,1
2004-000537-11,2,2006-03-28,2006-03-28,1,1,0,0,3,0,0,1,0,1
2004-000539-27,3,2007-07-11,2007-07-11,2,1,0,0,3,0,0,1,0,1
2004-000540-24,6,2008-03-03,2008-04-17,4,1,0,0,3,0,0,1,0,1
2004-000541-38,1,,,0,1,0,0,3,0,0,1,0,1
2004-000542-20,7,2006-01-24,2009-03-02,4,1,0,0,3,0,0,2,0,2
2004-000551-42,4,2011-01-05,2011-01-05,4,1,0,0,3,0,0,1,0,1
2004-000555-42,9,2010-09-01,2010-09-01,6,1,0,0,3,0,0,2,0,1
2004-000557-35,1,,,0,0,0,0,2,0,0,0,0,1
2004-000558-22,2,2013-01-10,2013-01-10,1,1,0,0,3,0,0,2,0,1
2004-000562-13,2,,,0,1,0,0,3,0,0,1,0,1
2004-000563-96,9,2008-03-11,2008-06-25,3,1,0,0,4,0,0,2,0,1
2004-000564-28,11,2008-09-30,2008-09-30,1,1,0,0,0,0,0,2,1,1
2004-000565-34,1,,,0,0,0,3,2,0,0,0,0,0
2004-000566-12,1,,,0,1,0,0,2,0,0,1,0,1
2004-000572-14,4,2009-04-17,2009-04-17,1,1,0,0,2,0,0,2,0,1
2004-000573-54,3,2009-04-07,2009-04-07,1,0,0,0,3,0,0,2,0,1
2004-000576-13,1,,,0,1,0,0,2,0,0,0,0,1
2004-000577-65,1,,,0,0,0,0,3,0,0,0,0,1
2004-000580-10,1,,,0,1,0,0,4,0,0,1,0,1
2004-000585-13,8,,,0,1,0,0,3,0,0,2,0,1
2004-000587-26,3,2005-09-17,2005-09-17,1,1,0,1,2,0,0,1,0,1
2004-000589-11,1,,,0,1,0,0,4,0,0,0,0,1
2004-000592-33,6,2009-07-29,2009-07-29,4,0,0,1,3,0,0,2,0,2
2004-000593-32,5,2005-09-12,2005-09-12,2,1,0,0,3,0,0,2,0,1
2004-000596-34,4,2006-09-04,2006-09-04,2,1,0,1,3,0,0,2,0,1
2004-000597-31,2,2009-07-31,2009-07-31,1,1,0,2,2,0,0,2,0,1
2004-000602-44,1,,,0,0,0,0,1,0,0,0,0,1
2004-000603-18,1,,,0,0,0,3,3,0,0,1,0,0
2004-000607-17,4,,,0,1,0,1,2,0,0,1,0,1
2004-000608-42,1,,,0,0,0,0,3,0,0,1,0,0
2004-000609-23,1,,,0,0,0,3,2,0,0,1,0,1
2004-000610-39,3,2006-09-15,2006-09-15,1,1,0,0,2,0,0,2,0,1
2004-000611-25,2,2007-01-17,2007-01-17,1,1,0,0,3,0,0,2,1,1
2004-000612-54,1,,,0,1,0,0,2,0,0,1,0,1
2004-000614-39,2,2007-03-12,2007-05-10,2,1,0,2,3,0,0,1,0,1
2004-000616-70,8,2006-11-09,2007-02-05,4,1,0,0,3,0,0,2,0,2
2004-000617-19,9,2008-12-18,2008-12-18,4,1,0,0,3,0,0,2,0,1
2004-000618-38,1,,,0,0,0,0,3,0,0,0,0,1
2004-000622-67,1,,,0,1,0,1,2,0,0,0,0,1
2004-000623-16,2,2005-12-15,2005-12-15,1,0,0,0,4,0,0,1,0,1
2004-000625-30,2,,,0,0,0,0,3,0,0,3,0,1
2004-000629-32,3,2010-10-22,2014-03-31,3,0,0,0,3,0,0,1,1,0
2004-000630-37,5,2007-02-15,2007-02-15,2,1,0,0,2,0,0,2,0,1
2004-000631-28,1,,,0,1,0,1,3,0,0,1,0,1
2004-000632-82,2,2009-01-26,2009-01-26,1,1,0,1,3,0,0,2,0,1
2004-000638-35,2,2008-01-23,2008-01-23,1,1,0,0,3,0,0,1,0,1
2004-000642-21,1,,,0,0,0,1,3,0,0,4,0,1
2004-000644-25,2,,,0,0,0,2,0,0,0,2,1,1
2004-000645-37,4,,,0,0,0,0,1,0,0,2,0,1
2004-000646-20,4,2005-12-27,2005-12-27,1,1,0,1,3,0,0,2,0,1
2004-000647-24,1,,,0,0,0,3,2,0,0,0,0,0
2004-000649-39,3,,,0,1,0,0,2,0,0,1,0,1
2004-000651-42,1,,,0,0,0,0,2,0,0,0,0,1
2004-000654-23,3,,,0,0,0,0,3,0,0,2,1,0
2004-000655-41,1,,,0,1,0,1,3,0,0,0,0,1
2004-000658-22,1,,,0,1,0,0,2,0,0,0,0,0
2004-000663-99,3,2006-03-31,2006-03-31,1,1,0,0,2,0,0,1,0,1
2004-000664-27,1,,,0,1,0,0,2,0,0,0,0,1
2004-000665-35,1,,,0,0,0,0,2,0,0,0,0,1
2004-000669-36,1,,,0,0,0,3,2,0,0,0,0,0
2004-000671-34,4,,,0,1,0,0,3,0,0,2,0,1
2004-000673-57,1,,,0,0,0,0,2,0,0,1,0,1
2004-000675-34,1,,,0,0,0,0,3,0,0,0,0,0
2004-000676-13,1,,,0,0,0,0,2,0,0,1,0,1
2004-000677-62,4,2005-06-28,2005-06-28,1,1,0,0,3,0,0,1,0,1
2004-000678-30,1,,,0,0,0,0,2,0,0,0,0,1
2004-000679-32,1,2006-12-19,2006-12-19,1,1,0,0,3,0,0,1,0,1
2004-000683-27,1,,,0,1,0,0,4,0,0,1,0,0
2004-000684-10,1,,,0,0,0,0,2,0,0,1,0,1
2004-000686-35,1,,,0,0,0,0,3,0,0,1,1,1
2004-000687-27,3,,,0,0,0,0,3,0,0,2,1,1
2004-000690-63,1,,,0,0,0,3,4,0,0,1,1,1
2004-000691-13,1,,,0,1,0,0,2,0,0,0,0,1
2004-000693-31,1,,,0,0,0,0,3,0,0,1,1,1
2004-000696-34,1,2005-10-17,2005-10-17,1,1,0,0,2,0,0,1,0,1
2004-000700-41,3,2006-02-16,2006-02-16,1,1,0,0,3,0,0,2,0,1
2004-000701-21,5,2007-04-04,2007-11-15,3,1,0,0,2,0,0,1,0,1
2004-000703-18,2,,,0,0,0,0,3,0,0,2,0,1
2004-000707-18,1,,,0,1,0,0,3,0,0,1,0,1
2004-000711-26,4,2006-11-02,2008-09-26,2,1,0,0,4,0,0,1,1,1
2004-000712-42,4,2005-12-15,2005-12-15,1,1,0,0,4,0,0,1,1,1
2004-000715-26,8,2012-06-29,2012-06-30,4,1,0,0,3,0,0,2,0,1
2004-000718-37,2,,,0,1,0,0,3,0,0,0,0,1
2004-000722-69,1,,,0,0,0,0,2,0,0,0,0,0
2004-000723-15,6,2006-11-02,2006-11-02,6,0,0,1,3,0,0,1,0,1
2004-000725-30,1,,,0,1,0,0,2,0,0,0,0,1
2004-000726-78,1,,,0,1,0,0,4,0,0,0,0,1
2004-000727-15,1,2014-09-04,2014-09-04,1,1,0,0,3,0,0,1,0,1
2004-000730-37,4,2006-06-09,2006-10-03,2,1,0,0,3,0,0,2,0,2
2004-000731-28,1,,,0,0,0,0,3,0,0,1,0,0
2004-000733-12,1,,,0,1,0,0,3,0,0,1,0,1
2004-000734-36,1,,,0,1,0,0,3,0,0,0,0,1
2004-000738-34,1,2007-09-03,2007-09-03,1,1,0,0,3,0,0,1,1,1
2004-000742-21,1,,,0,1,0,0,2,0,0,1,0,1
2004-000745-37,3,2006-09-28,2006-09-28,1,1,0,1,4,0,0,2,0,1
2004-000746-20,2,2007-12-27,2007-12-31,2,1,0,0,0,0,0,1,0,1
2004-000748-26,1,,,0,0,0,0,2,0,0,0,0,1
2004-000750-22,1,2007-08-28,2007-08-28,1,1,0,0,3,0,0,1,0,1
2004-000751-42,1,2008-05-11,2008-05-11,1,1,0,0,3,0,0,1,0,1
2004-000752-17,4,2010-03-10,2010-03-10,1,1,0,0,2,0,0,2,1,1
2004-000753-30,1,,,0,1,0,0,2,0,0,0,0,1
2004-000754-24,1,2006-05-22,2006-05-22,1,1,0,0,4,0,0,1,0,1
2004-000755-41,1,,,0,1,0,0,3,0,0,0,0,1
2004-000759-40,1,2006-06-28,2006-06-28,1,1,0,3,2,0,0,1,0,1
2004-000762-13,1,,,0,1,0,0,2,0,0,0,0,1
2004-000763-98,2,,,0,1,0,0,2,0,0,2,0,1
2004-000766-12,1,,,0,1,0,0,3,0,0,1,0,1
2004-000767-10,1,,,0,1,0,3,2,0,1,1,0,1
2004-000771-34,1,,,0,0,0,0,3,0,0,0,0,1
2004-000772-14,1,,,0,1,0,1,2,0,0,1,0,1
2004-000773-60,1,2006-10-31,2006-10-31,1,0,0,0,3,0,0,1,0,1
2004-000774-31,3,2006-09-04,2006-09-04,1,0,0,0,2,0,0,2,0,1
2004-000775-34,7,2007-04-24,2007-05-15,5,1,0,0,3,0,0,2,0,1
2004-000782-35,1,,,0,0,0,0,3,0,0,1,0,1
2004-000784-97,2,,,0,1,0,0,3,0,0,1,0,1
2004-000786-35,1,,,0,1,0,0,3,0,0,1,0,1
2004-000789-11,4,2005-09-15,2005-09-15,1,1,0,0,2,0,0,2,0,1
2004-000795-14,2,2005-03-14,2005-03-14,1,1,0,1,4,0,0,1,0,1
2004-000798-71,1,,,0,0,0,0,4,0,0,0,0,0
2004-000799-15,1,,,0,0,0,0,2,0,0,0,0,0
2004-000803-17,1,2007-07-11,2007-07-11,1,0,0,0,4,0,0,1,0,0
2004-000804-41,1,2006-12-20,2006-12-20,1,0,0,0,2,0,0,1,1,0
2004-000805-23,1,,,0,0,0,0,3,0,0,1,0,1
2004-000806-39,2,2006-11-09,2006-12-04,2,0,0,0,2,0,0,1,0,0
2004-000808-40,1,,,0,1,0,0,3,0,0,1,0,1
2004-000811-24,2,,,0,1,0,0,2,0,0,0,0,1
2004-000815-25,2,2006-12-31,2006-12-31,1,0,0,0,3,0,0,2,0,1
2004-000816-24,2,,,0,1,0,0,3,0,0,1,0,1
2004-000817-20,6,2005-10-03,2005-10-03,1,1,0,0,3,0,0,2,0,1
2004-000820-34,1,2008-03-31,2008-03-31,1,1,0,0,3,0,0,1,0,1
2004-000821-31,3,2006-04-19,2006-04-19,1,1,0,0,3,0,1,2,0,1
2004-000822-58,6,2006-08-28,2006-08-28,2,1,0,0,3,0,0,2,0,1
2004-000825-31,1,,,0,1,0,0,3,0,0,1,0,1
2004-000827-13,5,2010-07-08,2010-07-08,1,1,0,0,4,0,0,2,1,1
2004-000829-30,1,2007-07-24,2007-07-24,1,0,0,0,4,0,0,1,0,1
2004-000830-35,1,,,0,1,0,3,3,0,0,1,0,1
2004-000833-12,2,,,0,0,0,2,3,0,0,2,0,1
2004-000835-27,2,2007-01-29,2007-01-29,1,0,0,2,3,0,0,2,0,1
2004-000838-36,1,,,0,0,0,0,2,0,0,1,0,1
2004-000843-61,1,,,0,1,0,3,3,0,0,1,0,1
2004-000848-24,4,,,0,1,0,0,2,0,0,2,1,2
2004-000849-38,1,2011-03-23,2011-03-23,1,1,0,0,3,0,0,1,1,1
2004-000850-22,1,,,0,1,0,0,3,0,0,1,0,1
2004-000851-41,2,,,0,1,0,0,2,0,0,2,0,1
2004-000860-28,2,2008-06-12,2008-06-12,1,0,0,2,3,0,0,2,0,1
2004-000864-29,6,2010-11-24,2016-06-30,2,1,0,0,3,0,0,2,0,1
2004-000866-11,1,,,0,1,0,0,3,0,0,1,0,1
2004-000867-92,4,2006-05-10,2006-05-10,1,1,0,0,3,0,0,2,0,1
2004-000870-29,7,2007-11-07,2007-12-18,4,1,0,0,0,0,0,2,0,2
2004-000871-33,1,,,0,0,0,0,3,0,0,0,0,1
2004-000874-30,1,,,0,0,0,3,3,0,0,0,0,1
2004-000876-14,1,,,0,0,0,0,4,0,0,0,0,1
2004-000877-80,1,,,0,0,0,0,3,0,0,0,0,1
2004-000881-10,1,2008-12-31,2008-12-31,1,0,0,1,3,0,0,1,0,0
2004-000882-36,4,2006-06-20,2006-07-17,4,1,0,0,2,0,0,1,0,1
2004-000894-67,2,,,0,1,0,0,2,0,0,1,0,1
2004-000895-16,6,2007-04-04,2007-04-04,2,1,0,0,2,0,0,2,0,1
2004-000903-17,1,,,0,1,0,0,4,0,0,1,0,1
2004-000904-41,3,,,0,1,0,0,2,0,0,2,0,1
2004-000905-24,2,2010-08-03,2010-08-03,1,0,0,0,4,0,0,2,0,0
2004-000907-16,1,,,0,0,0,0,4,0,0,0,0,0
